"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"73(1,A10)","Unknown37","NaN","1422","NaN","NaN","NaN","284","NaN","NaN","NaN","NaN","488.5","NaN","NaN","422","3165","NaN","NaN","NaN","NaN","149","NaN","5978","NaN","NaN","NaN","2308","NaN","NaN","NaN","NaN","3052.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4027"
"74(1,B10)","Unknown38","NaN","1496.5","NaN","NaN","NaN","143.5","NaN","NaN","NaN","NaN","168","NaN","NaN","322","1626","NaN","NaN","NaN","NaN","115","NaN","3553","NaN","NaN","NaN","1736","NaN","NaN","NaN","NaN","2354","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2829"
"75(1,C10)","Unknown39","NaN","689","NaN","NaN","NaN","172","NaN","NaN","NaN","NaN","490","NaN","NaN","319.5","1699","NaN","NaN","NaN","NaN","110","NaN","5687","NaN","NaN","NaN","1235.5","NaN","NaN","NaN","NaN","2386","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5436"
"76(1,D10)","Unknown40","NaN","1063","NaN","NaN","NaN","208","NaN","NaN","NaN","NaN","732","NaN","NaN","270","2308","NaN","NaN","NaN","NaN","123","NaN","4443","NaN","NaN","NaN","1865","NaN","NaN","NaN","NaN","2494","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4907"
"81(1,A11)","Unknown41","NaN","1483.5","NaN","NaN","NaN","323.5","NaN","NaN","174","NaN","971","NaN","NaN","413","3382","NaN","NaN","NaN","NaN","147","NaN","5905","NaN","NaN","NaN","2611","NaN","NaN","NaN","NaN","3288","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5002"
"82(1,B11)","Unknown42","NaN","1491","NaN","NaN","NaN","257","NaN","NaN","NaN","NaN","844","NaN","NaN","381","3228.5","NaN","NaN","NaN","NaN","141","NaN","5615","NaN","NaN","NaN","2435","NaN","NaN","NaN","NaN","3043","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3565"
"83(1,C11)","Unknown43","NaN","2039","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","862","NaN","NaN","218.5","3722","NaN","NaN","NaN","NaN","134","NaN","3172","NaN","NaN","NaN","2360.5","NaN","NaN","NaN","NaN","3354","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5885"
"84(1,D11)","Unknown44","NaN","1264","NaN","NaN","293.5","264.5","NaN","NaN","NaN","NaN","826","NaN","NaN","296.5","3147","NaN","NaN","NaN","NaN","145","NaN","7531","NaN","NaN","NaN","2043","NaN","NaN","NaN","NaN","2696","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5025"
"85(1,E11)","Unknown58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","47"
"86(1,F11)","Unknown59","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8"
