"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","07/12/2017","13:15"

"SN","MAGPX13254704"
"Batch","171207_Evert_wt_PAO"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","809"
"ProtocolName","ProtAtOnce"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","100 uL"
"SampleWash","On"
"BatchStartTime","07/12/2017 13:22:56"
"BatchStopTime","07/12/2017 14:11:48"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 07/12/2017 10:36:58"
"Last VER Verification","Passed 07/12/2017 10:38:03"
"Last Fluidics Test","Passed 07/12/2017 10:39:18"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B52774","25/02/2018","07/12/2017 10:36:58","25.6","25.6","25.6","25.6","202","234","433","433","0.00703","0.007","0.00387","0.11545","Pass","MAGPX13254704"


"Samples","60","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"49(1,A7)","Unknown25","NaN","2060.5","NaN","NaN","NaN","311","NaN","NaN","NaN","NaN","676","NaN","NaN","609","3034","NaN","NaN","NaN","NaN","198","NaN","6790.5","NaN","NaN","NaN","2943","NaN","NaN","NaN","NaN","4199.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5198"
"50(1,B7)","Unknown26","NaN","2698.5","NaN","NaN","NaN","355.5","NaN","NaN","NaN","NaN","576","NaN","NaN","630.5","3541","NaN","NaN","NaN","NaN","211.5","NaN","7252.5","NaN","NaN","NaN","4333","NaN","NaN","NaN","NaN","4983.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4329"
"51(1,C7)","Unknown27","NaN","1605.5","NaN","NaN","NaN","284","NaN","NaN","NaN","NaN","432","NaN","NaN","453","2183","NaN","NaN","NaN","NaN","155","NaN","6096","NaN","NaN","NaN","2733","NaN","NaN","NaN","NaN","3810","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5565"
"52(1,D7)","Unknown28","NaN","454","NaN","NaN","NaN","108","NaN","NaN","NaN","NaN","177","NaN","NaN","106.5","998","NaN","NaN","NaN","NaN","90","NaN","1252","NaN","NaN","NaN","824","NaN","NaN","NaN","NaN","1828","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5884"
"53(1,E7)","Unknown55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","663.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","30"
"54(1,F7)","Unknown56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6"
"57(1,A8)","Unknown29","NaN","1634","NaN","NaN","NaN","251.5","NaN","NaN","NaN","NaN","388.5","NaN","NaN","414","2118","NaN","NaN","NaN","NaN","149.5","NaN","5337.5","NaN","NaN","NaN","2732","NaN","NaN","NaN","NaN","3775.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4999"
"58(1,B8)","Unknown30","NaN","1854.5","NaN","NaN","NaN","287","NaN","NaN","NaN","NaN","391","NaN","NaN","499.5","2547","NaN","NaN","NaN","NaN","168","NaN","5855.5","NaN","NaN","NaN","3453","NaN","NaN","NaN","NaN","4077","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4948"
"59(1,C8)","Unknown31","NaN","914.5","NaN","NaN","NaN","205","NaN","NaN","NaN","NaN","217.5","NaN","NaN","360","1345","NaN","NaN","NaN","NaN","124","NaN","4976","NaN","NaN","NaN","2038","NaN","NaN","NaN","NaN","3080.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5104"
"60(1,D8)","Unknown32","NaN","1319.5","NaN","NaN","NaN","171","NaN","NaN","NaN","NaN","277","NaN","NaN","216.5","2368","NaN","NaN","NaN","NaN","125","NaN","3301.5","NaN","NaN","NaN","2099","NaN","NaN","NaN","NaN","3173","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","6063"
